Model,Brand,Year,Price,Mileage,Transmission
Proton Saga,Proton,2021,"34,900","58,172 km",Automatic
Toyota Vios,Toyota,2017,"55,400","106,161 km",Automatic
Honda HR-V,Honda,2017,"52,000","95,660 km",Automatic
Perodua Myvi,Perodua,2023,"58,000","20,752 km",Automatic
Perodua Alza,Perodua,2017,"41,000","104,874 km",Automatic
Honda City,Honda,2021,"68,900","54,196 km",Automatic
Kia Cerato,Kia,2018,"47,400","113,585 km",Automatic
Mazda 2,Mazda,2016,"44,900","87,730 km",Automatic
Perodua Ativa,Perodua,2021,"62,800","31,733 km",Automatic
Perodua AXIA,Perodua,2017,"31,800","55,229 km",Automatic
Perodua Alza,Perodua,2023,"66,800","17,299 km",Automatic
Honda City,Honda,2018,"60,400","97,553 km",Automatic
Ford Fiesta,Ford,2015,"17,800","159,733 km",Automatic
Toyota Vios,Toyota,2018,"59,800","57,672 km",Automatic
Proton Saga,Proton,2015,"15,800","168,837 km",Automatic
Honda City,Honda,2015,"37,000","104,526 km",Automatic
Inokom i10,Inokom,2013,"11,800","87,261 km",Automatic
Perodua Alza,Perodua,2018,"46,400","100,579 km",Automatic
Honda City,Honda,2023,"74,900","17,517 km",Automatic
Perodua Bezza,Perodua,2021,"47,000","45,382 km",Automatic
Perodua AXIA,Perodua,2022,"34,000","24,348 km",Automatic
Perodua AXIA,Perodua,2016,"27,400","125,378 km",Automatic
Proton Persona,Proton,2020,"39,400","38,872 km",Automatic
Kia Cerato,Kia,2018,"47,900","7,640 km",Automatic
Perodua Alza,Perodua,2018,"41,800","37,988 km",Automatic
Perodua Alza,Perodua,2017,"38,400","111,927 km",Automatic
Perodua Alza,Perodua,2022,"72,600","39,600 km",Automatic
Perodua Bezza,Perodua,2021,"42,000","54,815 km",Automatic
Perodua Bezza,Perodua,2023,"42,900","9,778 km",Automatic
Proton Persona,Proton,2020,"38,900","49,460 km",Automatic
Perodua Alza,Perodua,2023,"73,600","23,899 km",Automatic
Perodua Bezza,Perodua,2022,"42,000","23,876 km",Automatic
Perodua Alza,Perodua,2022,"72,400","34,389 km",Automatic
Kia Picanto,Kia,2019,"33,900","64,622 km",Automatic
Nissan Navara,Nissan,2019,"75,400","46,196 km",Automatic
Perodua AXIA,Perodua,2016,"24,900","27,314 km",Automatic
Toyota Vios,Toyota,2016,"49,900","99,257 km",Automatic
Perodua Alza,Perodua,2022,"72,400","43,551 km",Automatic
BMW X1,BMW,2017,"74,900","56,493 km",Automatic
Perodua Alza,Perodua,2017,"38,900","84,003 km",Automatic
Proton Persona,Proton,2023,"44,000","14,546 km",Automatic
