Model,Brand,Year,Price,Mileage,Transmission
Toyota Yaris,Toyota,2019,60000,67270,Automatic
Perodua Bezza,Perodua,2018,31000,74649,Automatic
Nissan Almera,Nissan,2015,26400,88733,Automatic
Perodua AXIA,Perodua,2014,20900,152448,Automatic
Perodua Myvi,Perodua,2018,35400,132416,Automatic
Proton Saga,Proton,2017,24000,48228,Automatic
Proton Persona,Proton,2018,30000,111351,Automatic
Perodua AXIA,Perodua,2016,27400,71131,Automatic
Perodua Myvi,Perodua,2019,43000,68534,Automatic
Volkswagen Polo,Volkswagen,2017,34400,108941,Automatic
Perodua Bezza,Perodua,2016,31000,155685,Automatic
Perodua Myvi,Perodua,2017,36000,127045,Automatic
Perodua Bezza,Perodua,2016,31000,78321,Automatic
Perodua AXIA,Perodua,2017,30500,105276,Automatic
Honda CR-V,Honda,2013,39400,141852,Automatic
Perodua AXIA,Perodua,2019,34400,30717,Automatic
Toyota Camry,Toyota,2014,59900,99351,Automatic
Toyota Vios,Toyota,2015,40900,125373,Automatic
Honda CR-V,Honda,2019,99000,88399,Automatic
Proton X70,Proton,2019,59000,107565,Automatic
Perodua Myvi,Perodua,2020,40800,81104,Automatic
Toyota Vios,Toyota,2019,64400,92142,Automatic
Perodua Myvi,Perodua,2017,37900,103925,Automatic
Mazda CX-5,Mazda,2015,47400,156757,Automatic
Perodua Bezza,Perodua,2019,36000,43619,Automatic
Toyota Camry,Toyota,2021,156800,46943,Automatic
Perodua Myvi,Perodua,2019,43000,73049,Automatic
Mercedes-Benz GLC200,Mercedes-Benz,2019,163000,64918,Automatic
Honda Jazz,Honda,2014,40900,96714,Automatic
Proton Saga,Proton,2012,12900,120651,Automatic
Perodua Myvi,Perodua,2020,48000,80281,Automatic
Perodua Myvi,Perodua,2016,35000,122553,Automatic
Honda City,Honda,2019,59000,82965,Automatic
Nissan X-Trail,Nissan,2015,41900,158061,Automatic
Perodua AXIA,Perodua,2017,26000,113624,Automatic
Perodua Myvi,Perodua,2021,49000,65610,Automatic
Perodua AXIA,Perodua,2024,47800,9473,Automatic
Perodua Myvi,Perodua,2020,45000,81821,Automatic
Proton Saga,Proton,2020,32400,45037,Automatic
Perodua Myvi,Perodua,2021,49000,58981,Automatic
Perodua Myvi,Perodua,2019,46000,94028,Automatic
Perodua AXIA,Perodua,2020,32400,81715,Automatic
Honda Jazz,Honda,2016,50000,91313,Automatic
Perodua Myvi,Perodua,2018,41500,50488,Automatic
Perodua Bezza,Perodua,2018,35400,61198,Automatic
Perodua Bezza,Perodua,2019,36000,109287,Automatic
Nissan Almera,Nissan,2016,33000,122942,Automatic
Perodua AXIA,Perodua,2019,34400,47926,Automatic
Perodua Myvi,Perodua,2012,22900,163434,Automatic
Honda City,Honda,2019,59000,79520,Automatic
Honda Civic,Honda,2019,99900,62790,Automatic
Proton Exora,Proton,2015,23400,76094,Automatic
Honda City,Honda,2022,76800,27651,Automatic
Proton X70,Proton,2022,83000,41752,Automatic
Proton Exora,Proton,2018,35900,111500,Automatic
Toyota Yaris,Toyota,2020,61000,38501,Automatic
Perodua Myvi,Perodua,2019,43000,62470,Automatic
Honda Jazz,Honda,2015,43900,84251,Automatic
Mazda CX-5,Mazda,2018,91900,61441,Automatic
Proton X70,Proton,2022,85000,65099,Automatic
Honda Jazz,Honda,2016,52000,58783,Automatic
Perodua Alza,Perodua,2020,56400,64888,Automatic
Proton Saga,Proton,2021,32900,43316,Automatic
Proton X50,Proton,2022,69800,29204,Automatic
Toyota Vellfire,Toyota,2017,167000,95556,Automatic
Mazda CX-5,Mazda,2020,113400,81311,Automatic
Proton Persona,Proton,2019,31000,55433,Automatic
Toyota Vios,Toyota,2020,62900,71729,Automatic
Proton Persona,Proton,2019,32000,73939,Automatic
Perodua Bezza,Perodua,2017,34000,134856,Automatic
Perodua Myvi,Perodua,2021,49000,39903,Automatic
Toyota Corolla,Toyota,2023,117400,20167,Automatic
Honda Jazz,Honda,2018,65400,104279,Automatic
Perodua Aruz,Perodua,2019,49500,87362,Automatic
Perodua AXIA,Perodua,2022,37400,40914,Automatic
Perodua AXIA,Perodua,2019,34800,55264,Automatic
Perodua Myvi,Perodua,2018,43000,43416,Automatic
Perodua Myvi,Perodua,2017,37400,130543,Automatic
Honda CR-V,Honda,2019,91000,86878,Automatic
Perodua Myvi,Perodua,2021,49000,15859,Automatic
Honda City,Honda,2019,59000,84103,Automatic
Toyota Yaris,Toyota,2021,66400,54665,Automatic
Perodua Myvi,Perodua,2020,47000,49943,Automatic
Perodua Myvi,Perodua,2020,41000,28511,Automatic
Perodua Aruz,Perodua,2019,54000,88120,Automatic
Perodua AXIA,Perodua,2017,26000,47164,Automatic
Perodua Myvi,Perodua,2019,46000,80921,Automatic
Perodua Myvi,Perodua,2016,35800,93776,Automatic
Perodua Myvi,Perodua,2020,47000,58436,Automatic
Perodua Myvi,Perodua,2020,47000,67455,Automatic
Toyota Yaris,Toyota,2023,70400,30923,Automatic
Toyota Yaris,Toyota,2019,63000,82513,Automatic
Honda Accord,Honda,2021,121400,50452,Automatic
Honda BR-V,Honda,2017,49000,108653,Automatic
Volkswagen Tiguan,Volkswagen,2020,90400,43829,Automatic
Volkswagen Passat,Volkswagen,2018,72400,74652,Automatic
Perodua Bezza,Perodua,2018,34800,112561,Automatic
Perodua Alza,Perodua,2020,48000,69902,Automatic
Perodua Myvi,Perodua,2020,47000,65234,Automatic
Honda Jazz,Honda,2014,42400,110354,Automatic
Proton X70,Proton,2020,74900,62475,Automatic
Perodua Alza,Perodua,2014,32400,104404,Automatic
Toyota Vios,Toyota,2015,37900,146519,Automatic
Nissan Almera,Nissan,2015,26400,87153,Automatic
Perodua Myvi,Perodua,2015,25900,133209,Automatic
Honda CR-V,Honda,2015,55400,157477,Automatic
Perodua Aruz,Perodua,2021,57000,59744,Automatic
Perodua Myvi,Perodua,2018,43000,81597,Automatic
Perodua Myvi,Perodua,2017,37000,132707,Automatic
Nissan X-Trail,Nissan,2016,49900,127863,Automatic
Proton Persona,Proton,2020,35000,69914,Automatic
Perodua Aruz,Perodua,2020,55000,78567,Automatic
Perodua Myvi,Perodua,2021,49000,25906,Automatic
Perodua AXIA,Perodua,2017,26000,52959,Automatic
Perodua Myvi,Perodua,2018,41000,104174,Automatic
Perodua Myvi,Perodua,2017,38000,91641,Automatic
Toyota Vios,Toyota,2014,37400,147869,Automatic
Perodua Myvi,Perodua,2023,52400,23751,Automatic
Honda HR-V,Honda,2019,83900,64318,Automatic
Toyota Yaris,Toyota,2019,63000,93701,Automatic
Perodua Bezza,Perodua,2021,42000,52139,Automatic
Perodua Alza,Perodua,2013,24400,130084,Automatic
Honda Jazz,Honda,2017,53000,128412,Automatic
Perodua Ativa,Perodua,2021,60400,21454,Automatic
Proton X70,Proton,2019,64900,61379,Automatic
Proton X50,Proton,2023,83400,19310,Automatic
Perodua Myvi,Perodua,2015,25900,111800,Automatic
Toyota Vios,Toyota,2017,54000,64414,Automatic
Perodua Myvi,Perodua,2015,26400,92951,Automatic
Perodua AXIA,Perodua,2020,31900,59356,Automatic
Perodua Myvi,Perodua,2023,52900,28791,Automatic
Proton Persona,Proton,2023,47400,13225,Automatic
Proton Saga,Proton,2019,28400,35621,Automatic
Proton Persona,Proton,2018,32400,63808,Automatic
Proton Exora,Proton,2017,29400,102226,Automatic
Proton Persona,Proton,2018,31900,106770,Automatic
Perodua Myvi,Perodua,2015,25900,103599,Automatic
Proton Persona,Proton,2017,28500,104723,Automatic
Proton X50,Proton,2021,79900,27125,Automatic
Perodua AXIA,Perodua,2015,24500,139038,Automatic
Perodua Ativa,Perodua,2021,62800,32351,Automatic
Perodua Myvi,Perodua,2016,29400,130862,Automatic
Perodua Myvi,Perodua,2020,49000,34972,Automatic
Proton X50,Proton,2021,62400,54758,Automatic
Perodua AXIA,Perodua,2022,37400,14527,Automatic
Toyota Vios,Toyota,2017,54400,129153,Automatic
Mitsubishi ASX,Mitsubishi,2019,55400,85419,Automatic
Proton Saga,Proton,2019,31400,31699,Automatic
Honda City,Honda,2019,59400,62551,Automatic
Perodua Bezza,Perodua,2019,38400,58171,Automatic
Perodua Myvi,Perodua,2020,49000,76324,Automatic
Nissan Almera,Nissan,2016,33400,121441,Automatic
Proton X70,Proton,2019,64900,66656,Automatic
Proton Iriz,Proton,2015,17400,113987,Automatic
Perodua Alza,Perodua,2015,36000,85674,Automatic
Perodua Myvi,Perodua,2012,22900,177260,Automatic
Perodua Myvi,Perodua,2010,14900,128255,Automatic
Perodua Alza,Perodua,2014,30400,147540,Automatic
Toyota Vios,Toyota,2015,40900,145461,Automatic
Perodua Bezza,Perodua,2017,35000,87022,Automatic
Honda BR-V,Honda,2017,50900,104347,Automatic
Mazda CX-30,Mazda,2021,119800,58411,Automatic
Subaru XV,Subaru,2018,69000,113813,Automatic
Honda HR-V,Honda,2019,83900,57909,Automatic
Toyota Vios,Toyota,2021,70400,51141,Automatic
Nissan Serena,Nissan,2020,96900,59431,Automatic
Proton X50,Proton,2022,83400,45643,Automatic
Perodua Ativa,Perodua,2024,67900,5350,Automatic
Proton Iriz,Proton,2020,36900,38896,Automatic
Perodua Aruz,Perodua,2019,54900,56458,Automatic
Proton Iriz,Proton,2020,35400,60458,Automatic
Proton Iriz,Proton,2017,25400,107213,Automatic
Volkswagen Tiguan,Volkswagen,2018,78900,89984,Automatic
Proton X70,Proton,2019,64900,67105,Automatic
Mercedes-Benz C200,Mercedes-Benz,2021,210000,27786,Automatic
Perodua Aruz,Perodua,2019,54900,97936,Automatic
Nissan Serena,Nissan,2017,67000,95473,Automatic
Hyundai Tucson,Hyundai,2017,65000,132660,Automatic
Nissan Almera,Nissan,2018,37800,20602,Automatic
Proton Iriz,Proton,2016,23900,116049,Automatic
Nissan Serena,Nissan,2019,92800,88585,Automatic
Proton X70,Proton,2019,64900,63232,Automatic
Proton X50,Proton,2021,79900,58944,Automatic
Perodua Bezza,Perodua,2017,34500,110309,Automatic
Kia Rio,Kia,2016,29900,105903,Automatic
Perodua Bezza,Perodua,2018,36000,104258,Automatic
Honda Civic,Honda,2022,123800,34836,Automatic
Perodua AXIA,Perodua,2017,27400,102999,Automatic
Perodua AXIA,Perodua,2021,33200,61016,Automatic
Nissan Navara,Nissan,2021,98800,48583,Automatic
Proton X50,Proton,2021,72900,51659,Automatic
Nissan X-Trail,Nissan,2017,54400,93837,Automatic
Toyota Hilux,Toyota,2020,118800,45654,Automatic
BMW 318i,BMW,2018,75900,88944,Automatic
Perodua AXIA,Perodua,2017,27900,78648,Automatic
Perodua Ativa,Perodua,2021,62800,20513,Automatic
Perodua AXIA,Perodua,2018,28400,78680,Automatic
Proton Iriz,Proton,2023,43900,11444,Automatic
Nissan Serena,Nissan,2019,92800,82473,Automatic
Nissan Serena,Nissan,2018,84900,85499,Automatic
Perodua Bezza,Perodua,2019,38400,92560,Automatic
