Model,Brand,Year,Price,Mileage,Transmission
Proton Saga,Proton,2018,"25,800",69032 KM,Automatic
Honda Civic,Honda,2021,"113,900",24502 KM,Automatic
Toyota Corolla Altis,Toyota,2014,"36,500",245 - 250K KM,Automatic
Mercedes-Benz E250,Mercedes-Benz,2018,"120,000",160 - 165K KM,Automatic
Perodua Bezza,Perodua,2017,"35,000",104845 KM,Automatic
Perodua Bezza,Perodua,2019,"36,200",95 - 100K KM,Automatic
MINI 3 Door,MINI,2017,"118,000",47629 KM,Automatic
BMW X1,BMW,2022,"149,800",50 - 55K KM,Automatic
Honda Civic,Honda,2017,"79,900",81987 KM,Automatic
Nissan Grand Livina,Nissan,2012,"23,400",140 - 145K KM,Automatic
Perodua Bezza,Perodua,2017,"34,800",110 - 115K KM,Automatic
Honda Jazz,Honda,2015,"44,900",115 - 120K KM,Automatic
Kia Sportage,Kia,2014,"32,800",190 - 195K KM,Automatic
Honda Jazz,Honda,2017,"56,000",85 - 90K KM,Automatic
Proton Iriz,Proton,2017,"29,800",57523 KM,Automatic
Honda Jazz,Honda,2017,"56,000",70 - 75K KM,Automatic
Nissan Almera,Nissan,2015,"26,800",105 - 110K KM,Automatic
Nissan Serena,Nissan,2018,"82,000",95 - 100K KM,Automatic
Perodua Myvi,Perodua,2018,"40,999",55 - 60K KM,Automatic
Perodua Bezza,Perodua,2019,"36,200",76914 KM,Automatic
BMW X1,BMW,2019,"89,800",45 - 50K KM,Automatic
Perodua Aruz,Perodua,2020,"54,900",83705 KM,Automatic
Toyota Alphard,Toyota,2020,"229,999",25 - 30K KM,Automatic
Lamborghini Aventador,Lamborghini,2018,"2,650,000",20 - 25K KM,Automatic
Proton X70,Proton,2022,"83,000",38791 KM,Automatic
Toyota Vios,Toyota,2018,"54,800",100 - 105K KM,Automatic
Perodua Bezza,Perodua,2017,"32,800",110 - 115K KM,Automatic
Perodua AXIA,Perodua,2017,"27,800",145312 KM,Automatic
Perodua Aruz,Perodua,2019,"53,900",90877 KM,Automatic
Perodua Alza,Perodua,2011,"21,900",187641 KM,Automatic
Perodua Myvi,Perodua,2018,"43,500",59573 KM,Automatic
Perodua AXIA,Perodua,2019,"29,400",102722 KM,Automatic
Volkswagen Tiguan,Volkswagen,2018,"76,800",95122 KM,Automatic
Audi A5,Audi,2019,"167,000",30 - 35K KM,Automatic
Toyota Vios,Toyota,2019,"56,900",80 - 85K KM,Automatic
Nissan Almera,Nissan,2016,"31,800",121033 KM,Automatic
Toyota Yaris,Toyota,2020,"60,000",35 - 40K KM,Automatic
Perodua Myvi,Perodua,2016,"34,300",116137 KM,Automatic
Mazda 3,Mazda,2019,"112,000",97712 KM,Automatic
Honda HR-V,Honda,2017,"59,800",130 - 135K KM,Automatic
Proton Saga,Proton,2017,"24,000",92499 KM,Automatic
Honda City,Honda,2019,"58,000",72830 KM,Automatic
